Âmbito Geográfico;Anos;2002;2009;2010;2011;2012;2013;2002;2009;2010;2011;2012;2013;2002;2009;2010;2011;2012;2013
NUTS 2013;Portugal;685,0;867,5;899,0;905,1;914,1;911,5;744,2;940,5;976,7;984,2;999,0;993,2;599,5;773,5;800,8;807,5;813,7;815,6
NUTS I;Continente;x;x;900,0;906,1;915,0;912,2;x;x;977,6;985,2;999,9;993,8;x;x;801,8;808,4;814,5;816,2
NUTS II;Norte;x;x;793,1;802,4;808,5;809,5;x;x;852,2;864,4;875,0;875,8;x;x;714,6;723,2;726,8;729,0
NUTS III;Alto Minho;x;x;709,4;719,7;722,5;726,6;x;x;752,0;765,8;773,3;777,7;x;x;657,7;667,1;665,6;669,2
Município;Arcos de Valdevez;517,2;623,2;645,2;650,6;664,6;666,4;533,7;651,6;674,3;687,8;702,5;710,1;494,5;592,8;617,7;616,7;629,4;625,9
Município;Caminha;517,1;734,3;772,6;752,1;738,6;737,5;552,8;771,4;808,8;787,0;772,6;769,8;471,6;689,1;727,4;718,0;706,4;708,8
Município;Melgaço;505,3;618,7;651,7;655,2;645,1;666,0;524,0;648,5;693,0;717,3;700,1;731,4;479,8;588,5;612,6;603,8;598,7;614,2
Município;Monção;455,4;611,2;648,4;652,8;648,8;655,2;476,9;648,1;690,1;690,6;690,8;696,4;421,0;569,2;598,5;612,1;600,8;609,4
Município;Paredes de Coura;458,3;593,4;623,9;640,5;627,9;639,4;485,6;624,3;653,0;672,1;655,8;654,9;431,3;568,2;598,6;614,5;606,8;627,5
Município;Ponte da Barca;492,0;642,0;673,8;681,6;681,7;677,8;489,8;646,4;679,3;689,3;696,8;688,6;496,0;634,9;665,3;670,9;659,9;662,5
Município;Ponte de Lima;465,0;624,0;638,7;633,2;640,9;644,2;489,9;650,3;665,1;660,6;672,6;681,7;417,3;587,6;600,0;595,7;600,5;600,8
Município;Valença;508,2;661,3;681,4;694,4;694,6;708,8;536,0;702,3;740,9;754,7;764,9;785,8;467,7;605,1;619,2;632,9;623,5;628,8
Município;Viana do Castelo;563,2;748,9;752,9;779,6;780,8;784,6;615,1;807,6;801,0;831,7;837,4;837,8;489,4;674,3;692,2;716,0;713,7;718,5
Município;Vila Nova de Cerveira;494,5;739,4;760,6;761,1;776,5;776,9;548,8;810,8;832,7;837,1;865,9;849,5;446,9;668,3;686,5;685,4;687,7;702,0
NUTS III;Cávado;x;x;740,7;743,7;756,3;755,3;x;x;799,3;804,1;818,3;815,0;x;x;665,9;671,0;682,4;685,8
Município;Amares;505,4;670,2;699,6;707,9;682,6;654,9;537,2;699,9;728,3;742,7;702,9;669,2;442,9;609,8;636,8;641,3;645,8;629,7
Município;Barcelos;486,7;642,1;665,8;672,2;677,7;686,8;529,3;686,0;711,3;723,4;735,6;740,6;443,3;595,9;618,8;623,4;623,4;636,0
Município;Braga;595,6;769,8;813,0;812,8;831,9;826,4;637,9;833,6;879,2;877,9;894,9;887,9;526,9;677,0;719,4;725,2;747,0;745,4
Município;Esposende;488,1;644,0;669,7;672,3;679,1;695,4;526,7;687,8;719,3;717,8;724,0;749,4;442,7;590,6;610,1;620,3;626,8;639,8
Município;Terras de Bouro;517,8;666,4;681,9;709,9;748,4;747,3;565,8;748,8;757,2;837,4;898,7;911,7;453,3;580,5;601,5;590,7;604,4;591,4
Município;Vila Verde;452,7;622,0;647,9;666,2;681,3;675,7;483,4;646,9;676,4;699,1;719,0;710,5;414,6;586,6;609,1;620,5;631,7;631,0
NUTS III;Ave; x;x;x;x;x;x; x;x;x;x;x;x; x;x;x;x;x;x
Município;Cabeceiras de Basto;461,1;617,9;615,9;628,2;635,1;627,5;482,6;622,4;629,3;636,0;648,6;653,6;422,9;611,4;596,9;618,7;619,3;598,5
Município;Fafe;463,3;591,0;609,8;620,5;626,4;621,6;498,9;615,5;636,8;645,7;655,1;649,1;430,5;567,9;584,6;597,7;602,3;598,4
Município;Guimarães;  523,7;668,0;695,0;709,3;706,3;705,6;  571,1;714,4;745,3;760,6;751,5;753,1;  465,6;613,4;636,5;649,5;655,9;652,7
Município;Mondim de Basto;445,7;559,4;595,5;607,6;617,9;620,6;467,5;541,5;592,6;599,7;610,2;611,2;413,6;588,1;601,0;623,7;631,4;631,8
Município;Póvoa de Lanhoso;478,4;610,6;634,5;651,1;644,8;638,8;516,7;643,3;664,2;683,2;674,8;672,0;448,8;575,5;603,9;617,7;616,2;609,0
Município;Vieira do Minho;535,3;596,3;645,5;693,2;710,9;705,4;570,6;595,7;675,5;735,3;755,2;760,3;456,3;597,1;608,9;630,1;641,8;617,9
Município;Vila Nova de Famalicão;542,5;730,6;753,3;762,3;772,6;774,5;591,6;785,8;804,7;822,7;842,0;842,0;481,3;659,8;685,1;686,6;688,8;692,4
Município;Vizela;464,9;572,2;601,7;616,5;622,4;623,2;512,5;615,6;635,9;648,6;663,9;661,1;423,1;535,3;571,5;588,1;587,7;591,4
NUTS III;Área Metropolitana do Porto;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
Município;Arouca;455,5;613,9;634,7;645,0;654,4;655,4;470,0;640,0;658,0;671,0;682,2;681,8;424,7;571,7;594,5;603,3;610,1;613,4
Município;Espinho;579,5;702,9;735,7;749,8;768,7;762,0;630,4;758,0;795,4;809,8;846,1;839,6;510,4;648,5;672,8;687,4;692,3;688,4
Município;Gondomar;548,1;700,7;737,7;741,8;750,4;749,9;578,1;733,2;772,5;779,5;792,5;784,6;494,5;652,3;686,1;689,3;695,7;702,4
Município;Maia;695,8;904,9;945,5;963,3;975,7;975,6;754,8;974,7;1 024,9;1 039,3;1 058,0;1 057,4;589,6;781,4;810,8;833,7;840,5;844,6
Município;Matosinhos;746,9;917,3;931,4;945,7;946,6;951,8;809,3;1 006,1;1 006,0;1 030,1;1 049,1;1 054,8;636,9;795,6;825,2;832,1;823,0;828,8
Município;Oliveira de Azeméis;591,2;763,5;782,7;797,0;803,1;805,1;667,5;843,1;862,8;879,8;883,5;886,5;468,9;630,3;648,5;662,9;669,7;670,7
Município;Paredes;477,1;639,6;670,1;686,2;678,8;678,7;484,3;644,5;672,6;690,6;694,1;695,7;461,7;630,6;665,7;678,9;653,9;651,0
Município;Porto;803,6;1 000,5;1 050,4;1 060,7;1 074,3;1 089,2;885,1;1 087,8;1 169,3;1 179,6;1 202,1;1 218,0;696,3;898,2;922,0;931,9;941,7;955,7
Município;Póvoa de Varzim;517,0;702,4;731,1;741,7;750,5;734,6;566,8;761,5;790,3;804,8;819,1;793,9;460,5;630,7;656,5;664,6;672,4;675,0
Município;Santa Maria da Feira;585,3;776,9;788,5;808,5;807,1;812,1;641,2;842,7;849,4;870,5;878,1;882,4;500,7;678,7;696,1;723,1;711,2;716,3
Município;Santo Tirso;  530,1;666,1;713,3;708,6;716,6;723,1;  586,2;713,7;771,1;763,2;767,1;776,6;  465,8;615,1;648,8;648,7;660,8;666,9
Município;São João da Madeira;586,0;743,8;753,6;783,5;807,7;802,1;661,4;835,7;841,4;869,5;899,0;889,2;498,9;653,0;668,2;698,3;717,7;716,2
Município;Trofa;570,2;792,7;818,3;819,9;823,2;814,4;617,9;842,3;858,3;859,9;863,4;846,7;501,1;703,3;748,5;749,8;754,3;756,0
Município;Vale de Cambra;761,2;818,0;837,4;855,0;863,3;872,1;858,7;920,5;948,6;969,5;978,3;987,1;582,1;641,4;659,1;672,6;683,8;685,7
Município;Valongo;519,6;715,4;753,3;757,4;763,0;761,1;540,9;746,1;792,0;798,3;805,1;800,8;487,4;667,5;692,1;695,5;700,4;703,3
Município;Vila do Conde;581,0;772,8;813,6;822,2;836,6;831,8;636,1;831,8;875,9;893,4;908,4;906,3;500,9;672,3;707,7;706,9;717,5;717,4
Município;Vila Nova de Gaia;641,3;843,3;872,5;873,2;870,8;874,4;684,5;896,7;928,5;924,9;923,8;930,7;566,2;760,3;787,7;799,2;797,8;797,8
NUTS III;Alto Tâmega;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
Município;Boticas;493,2;610,6;617,0;618,2;623,1;636,0;526,3;641,7;640,2;647,3;648,0;654,5;455,6;578,2;592,8;590,3;600,7;618,4
Município;Chaves;517,8;670,3;703,9;703,7;714,6;712,5;546,8;704,4;735,0;738,2;747,3;753,2;473,0;622,5;666,0;664,1;677,3;669,1
Município;Montalegre;519,3;641,6;644,9;654,0;657,7;659,3;531,0;656,5;662,5;671,1;679,4;679,8;498,1;615,3;617,2;628,5;625,7;634,5
Município;Ribeira de Pena;506,8;646,0;697,6;681,7;686,8;688,9;529,8;669,5;744,9;715,8;721,6;721,9;463,3;614,6;634,7;631,7;642,4;647,5
Município;Valpaços;468,8;623,3;631,6;640,0;655,1;639,6;475,4;649,2;653,7;661,2;684,1;657,8;458,3;583,1;601,5;613,3;618,9;617,1
Município;Vila Pouca de Aguiar;474,9;617,3;644,1;648,7;668,4;669,4;476,6;628,7;666,4;665,0;687,7;682,2;472,2;594,1;605,8;621,3;637,7;649,8
NUTS III;Tâmega e Sousa; x;x;x;x;x;x; x;x;x;x;x;x; x;x;x;x;x;x
Município;Amarante;528,9;681,5;719,7;722,0;715,7;723,9;535,0;693,1;741,7;745,3;738,5;745,7;514,0;658,2;673,6;676,6;676,8;687,1
Município;Baião;456,7;606,5;644,1;658,1;638,7;615,9;480,9;608,3;661,0;680,9;653,5;623,6;397,2;603,0;614,1;623,9;619,3;605,0
Município;Castelo de Paiva;509,3;648,3;635,7;648,3;647,2;625,0;545,6;690,8;684,4;707,2;709,6;674,3;436,2;598,3;573,1;584,3;585,5;583,4
Município;Celorico de Basto;448,8;576,0;620,1;647,2;648,8;667,1;459,7;569,9;661,8;688,1;691,6;736,1;424,4;585,4;563,8;578,9;583,6;573,6
Município;Cinfães;480,7;605,6;617,2;619,8;625,6;621,5;487,3;622,9;634,0;635,7;640,3;633,4;448,8;563,9;579,0;588,2;594,2;594,3
Município;Felgueiras;  473,7;594,0;607,3;612,7;618,0;620,9;  517,7;629,3;647,7;655,2;663,9;668,2;  421,8;552,5;563,0;567,2;569,7;570,9
Município;Lousada;  447,2;584,5;595,6;603,9;605,6;605,5;  475,2;628,1;633,8;643,5;647,7;647,4;  412,3;541,0;555,6;564,3;566,8;567,9
Município;Marco de Canaveses;477,3;631,2;642,6;665,3;685,6;691,4;500,0;653,7;665,3;693,6;724,8;734,3;429,2;581,5;594,0;608,5;609,1;608,0
Município;Paços de Ferreira;430,6;569,9;600,6;603,8;606,2;612,7;445,7;591,2;629,1;627,5;632,0;639,6;407,6;543,9;565,5;576,3;577,5;582,8
Município;Penafiel;517,2;689,9;692,0;703,7;707,8;704,4;555,3;729,9;725,6;746,9;764,6;753,3;452,8;639,2;651,0;655,4;651,3;655,9
Município;Resende;496,7;622,0;643,2;659,1;666,7;646,8;492,5;608,1;617,8;650,9;677,0;643,7;505,0;641,5;677,2;669,2;656,1;649,8
NUTS III;Douro;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
Município;Alijó;566,6;732,7;729,0;748,4;731,0;737,9;587,6;774,5;776,8;798,9;793,4;798,5;529,9;670,3;649,7;663,1;648,8;651,3
Município;Armamar;514,9;618,3;627,8;640,0;652,8;654,9;540,0;621,1;642,2;662,0;661,4;667,7;454,3;613,5;609,8;612,1;641,7;637,9
Município;Carrazeda de Ansiães;515,1;614,4;641,2;652,7;636,8;643,8;519,0;646,6;661,4;676,5;663,1;652,6;505,4;575,8;617,7;627,3;611,3;634,4
Município;Freixo de Espada à Cinta;454,8;594,6;625,4;628,5;619,9;611,7;450,1;621,7;638,8;637,0;638,0;639,9;468,2;557,9;604,0;616,5;597,6;574,7
Município;Lamego;500,7;662,8;688,9;694,0;708,5;704,4;503,0;687,2;708,1;717,7;734,2;736,2;496,4;632,6;665,5;665,4;677,8;667,9
Município;Mesão Frio;485,5;722,1;632,5;636,3;646,6;638,0;512,6;733,3;672,8;711,7;700,0;664,5;460,6;706,9;597,6;582,5;594,9;609,0
Município;Moimenta da Beira;478,5;617,6;641,9;639,4;647,3;651,0;491,4;644,3;672,5;680,3;681,5;688,3;453,1;584,0;602,4;595,2;605,7;606,1
Município;Murça;502,9;616,8;648,3;651,6;639,0;634,9;502,3;603,0;672,3;663,8;648,3;638,6;503,9;633,1;624,0;635,6;629,3;631,1
Município;Penedono;516,1;599,5;654,4;670,3;857,7;632,1;539,1;598,1;654,8;721,2;976,4;628,3;489,9;601,1;654,0;616,0;704,0;636,4
Município;Peso da Régua;578,9;714,6;740,8;753,7;762,3;764,9;610,3;758,5;797,6;816,6;825,8;835,4;522,2;647,5;665,4;676,0;688,1;678,5
Município;Sabrosa;527,4;768,1;839,6;849,9;819,7;868,2;527,2;821,8;900,0;930,6;911,6;886,2;527,7;707,8;756,6;736,3;708,3;851,5
Município;Santa Marta de Penaguião;562,4;600,1;639,5;644,3;656,0;659,2;567,5;610,9;647,5;632,7;654,1;652,6;554,4;585,1;630,5;656,0;657,7;665,1
Município;São João da Pesqueira;563,6;715,0;687,6;721,1;711,1;711,2;612,1;756,5;740,7;778,7;768,2;766,9;486,7;655,0;599,9;639,2;632,7;641,2
Município;Sernancelhe;507,1;593,8;606,3;599,8;617,6;615,9;508,1;597,8;621,1;607,7;624,7;614,4;505,4;587,0;583,8;589,5;608,7;617,6
Município;Tabuaço;505,4;646,2;703,0;697,3;706,8;724,5;504,2;693,8;809,9;754,5;778,7;810,4;508,9;569,5;587,1;615,4;627,2;634,3
Município;Tarouca;438,7;627,4;644,4;696,9;668,6;672,7;435,3;622,8;646,7;722,8;685,5;687,8;458,4;638,2;636,5;637,7;641,7;646,5
Município;Torre de Moncorvo;534,2;767,7;873,5;906,1;880,7;905,1;520,5;874,2;980,5;979,3;944,9;1 008,1;554,5;613,9;687,4;731,3;731,2;732,5
Município;Vila Nova de Foz Côa;509,0;652,1;701,9;715,3;717,4;726,1;530,7;695,4;750,9;767,8;773,2;789,1;474,9;602,8;646,0;649,9;652,0;652,5
Município;Vila Real;589,0;731,4;748,0;759,5;786,4;799,5;621,6;763,0;781,6;792,2;820,2;836,5;529,4;693,1;707,5;721,4;749,4;760,8
NUTS III;Terras de Trás-os-Montes;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
Município;Alfândega da Fé;488,7;665,6;656,5;639,2;639,1;634,4;505,9;710,3;678,5;644,3;631,9;633,3;457,1;622,5;635,8;634,8;644,9;635,5
Município;Bragança;555,3;686,1;706,3;727,1;718,3;749,5;582,1;716,2;734,1;760,4;761,8;792,0;518,3;650,6;675,6;690,1;671,6;705,4
Município;Macedo de Cavaleiros;496,1;612,9;673,7;681,4;667,3;692,5;496,9;630,3;686,2;693,4;683,6;723,5;494,7;586,7;659,3;668,5;647,1;652,2
Município;Miranda do Douro;499,3;640,5;673,0;682,8;687,0;689,2;535,4;698,8;735,6;752,2;761,3;776,1;444,7;574,3;580,1;606,9;613,8;605,7
Município;Mirandela;558,2;676,0;694,4;693,9;702,2;708,8;590,1;719,4;735,9;731,9;747,1;755,8;504,4;620,9;643,0;650,2;653,4;661,7
Município;Mogadouro;523,7;649,7;667,1;656,2;646,9;664,1;561,5;704,1;726,0;709,3;684,4;720,8;444,6;567,6;578,8;579,2;596,0;596,5
Município;Vila Flor;504,6;661,6;668,9;654,2;635,7;631,2;528,2;698,5;704,7;697,3;680,3;686,2;462,7;609,9;602,2;594,0;592,0;581,4
Município;Vimioso;502,6;597,7;591,6;608,7;620,6;622,9;530,8;615,0;613,2;641,6;662,3;651,4;480,7;579,7;569,8;581,5;584,3;598,6
Município;Vinhais;556,2;611,4;605,9;627,4;645,1;640,4;560,5;623,4;612,9;642,7;657,4;652,8;549,9;597,6;593,9;606,5;628,7;623,3
NUTS II;Centro;x;x;775,9;780,6;786,5;786,8;x;x;842,1;846,8;856,6;855,1;x;x;690,4;696,8;701,4;704,4
NUTS III;Oeste;x;x;761,6;764,8;769,4;770,8;x;x;821,9;828,7;838,3;837,7;x;x;683,6;686,2;689,4;693,5
Município;Alcobaça;564,3;706,6;734,0;741,1;742,3;740,2;610,3;764,3;791,6;806,3;812,6;806,3;501,5;637,5;663,6;665,0;664,6;665,4
Município;Alenquer;663,5;823,4;853,7;853,9;858,1;881,5;716,6;883,8;919,4;923,6;924,7;942,1;557,6;708,0;730,5;731,1;745,8;771,6
Município;Arruda dos Vinhos;633,8;797,3;840,8;822,8;849,7;846,3;643,9;820,5;868,0;862,9;892,6;872,0;618,7;760,4;798,7;764,1;790,3;808,7
Município;Bombarral;553,4;685,5;696,3;702,7;706,3;701,2;589,1;740,6;746,6;759,7;746,9;741,3;487,8;611,2;633,4;643,6;665,3;664,7
Município;Cadaval;506,7;678,5;724,2;701,6;695,5;697,7;526,5;732,3;771,4;753,5;747,2;747,1;480,2;618,9;663,7;645,2;646,4;650,3
Município;Caldas da Rainha;585,0;730,4;752,1;756,2;759,4;752,6;632,6;783,1;812,6;819,7;824,1;812,9;522,4;674,5;688,8;689,6;694,9;693,4
Município;Lourinhã;510,6;670,8;687,5;695,8;710,5;706,5;545,6;726,2;748,6;756,5;790,1;771,7;458,9;602,9;610,1;622,6;622,9;636,2
Município;Nazaré;538,6;663,6;718,8;698,9;701,8;704,8;567,3;728,9;768,0;756,4;766,6;758,6;509,3;607,5;674,2;647,9;648,1;663,0
Município;Óbidos;576,1;773,7;796,5;810,2;787,0;789,3;625,5;831,8;865,7;884,4;857,0;867,9;503,2;699,3;712,8;724,1;704,2;704,1
Município;Peniche;535,0;708,9;735,1;732,4;744,8;737,2;580,4;796,8;818,3;818,5;846,4;837,4;471,2;608,8;636,9;643,8;644,5;640,1
Município;Sobral de Monte Agraço;569,6;678,6;679,9;694,8;698,4;717,4;603,9;696,1;707,5;721,0;729,6;758,7;516,8;651,3;638,5;661,0;656,6;661,9
Município;Torres Vedras;581,6;747,2;764,5;771,2;776,3;778,4;622,0;794,8;816,4;821,6;835,8;840,1;526,6;689,1;696,7;707,7;707,1;707,9
NUTS III;Região de Aveiro;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
Município;Águeda;599,7;769,9;794,2;800,0;798,8;798,1;671,4;862,3;889,7;896,9;889,1;888,9;499,3;647,5;667,7;674,3;684,2;685,5
Município;Albergaria-a-Velha;598,3;763,0;776,2;787,7;801,0;804,1;650,7;828,3;830,9;844,6;859,7;863,1;502,2;653,5;679,9;691,2;702,7;703,4
Município;Anadia;578,4;745,8;775,2;773,0;786,8;780,7;623,3;812,2;838,2;834,0;853,3;842,0;513,8;670,9;702,3;705,3;714,4;713,5
Município;Aveiro;707,4;895,5;909,0;916,8;928,0;926,7;792,9;997,8;1 021,0;1 011,9;1 030,0;1 025,8;575,5;762,3;766,9;790,0;793,2;799,1
Município;Estarreja;633,9;826,3;846,1;854,9;867,4;862,4;677,2;891,6;903,6;912,3;925,3;917,1;531,3;691,2;722,5;732,0;746,0;746,9
Município;Ílhavo;622,1;793,5;834,6;849,0;821,0;839,5;697,6;904,4;966,5;982,5;951,0;973,9;529,2;666,8;685,4;702,9;684,0;701,3
Município;Murtosa;495,5;631,0;656,5;673,3;690,8;673,0;503,8;661,4;685,0;713,1;745,1;700,0;483,1;597,6;625,7;635,3;643,8;646,6
Município;Oliveira do Bairro;600,4;786,9;794,9;808,8;783,8;783,7;659,1;863,1;876,5;896,3;871,2;879,0;524,3;693,1;699,5;701,4;688,8;685,7
Município;Ovar;584,3;767,0;768,5;764,7;790,4;783,3;642,0;830,2;845,2;842,3;870,8;854,1;512,3;683,5;676,4;674,2;696,0;697,5
Município;Sever do Vouga;526,9;729,1;749,5;758,7;773,3;780,1;561,1;792,7;806,9;822,1;851,1;854,8;457,1;617,9;637,9;649,3;641,1;656,8
Município;Vagos;533,8;711,6;732,6;733,2;728,8;748,7;566,1;763,9;774,4;774,3;775,0;811,2;481,3;656,2;687,3;690,8;685,6;690,8
NUTS III;Região de Coimbra;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
Município;Arganil;480,2;618,0;648,0;669,5;664,0;670,6;515,3;663,0;707,5;736,5;738,4;731,4;438,9;574,8;591,6;609,6;602,0;617,0
Município;Cantanhede;586,5;760,3;787,2;793,2;804,3;805,1;633,8;825,4;850,8;860,3;880,6;879,1;510,1;670,0;700,1;702,1;704,1;708,6
Município;Coimbra;661,9;843,2;873,5;877,7;886,5;900,6;724,5;913,1;951,4;954,4;965,5;977,2;573,9;762,6;789,9;800,0;809,7;827,1
Município;Condeixa-a-Nova;545,0;727,6;740,4;742,3;744,8;735,2;569,2;767,8;776,4;786,8;802,9;809,0;516,6;677,4;692,9;690,4;682,4;661,0
Município;Figueira da Foz;662,8;850,2;881,4;891,1;879,9;874,2;762,3;981,1;1 009,9;1 030,6;1 009,0;996,0;515,4;680,4;706,4;703,6;705,1;705,4
Município;Góis;457,6;591,9;608,1;608,0;613,6;620,8;470,5;615,0;633,3;629,3;631,5;626,2;446,8;574,1;590,8;592,6;602,9;617,0
Município;Lousã;542,4;690,1;713,8;731,4;734,4;744,7;585,4;721,7;753,0;765,0;781,6;793,4;483,1;647,8;659,9;684,4;680,6;686,5
Município;Mealhada;577,8;725,5;815,4;744,1;742,7;739,1;625,8;769,2;894,5;780,8;770,3;761,2;497,7;663,2;690,3;686,5;697,7;699,8
Município;Mira;485,5;637,3;681,1;699,2;713,9;711,9;530,5;701,1;773,9;773,4;804,5;785,7;437,5;574,0;589,5;626,7;628,3;638,6
Município;Miranda do Corvo;504,4;622,2;646,4;655,3;682,8;661,1;517,8;641,6;673,8;680,9;724,7;688,1;482,2;597,4;609,2;624,6;637,0;631,7
Município;Montemor-o-Velho;536,8;643,8;663,8;667,0;686,1;681,4;565,6;668,8;695,0;693,3;733,0;728,4;489,6;612,6;622,5;633,0;639,6;637,2
Município;Mortágua;592,7;705,0;751,0;730,5;729,2;758,0;616,6;748,7;813,1;778,8;787,5;835,7;560,0;645,7;664,7;665,2;653,7;659,8
Município;Oliveira do Hospital;494,0;629,0;648,5;655,2;658,5;659,5;535,7;682,8;695,4;714,5;719,6;719,1;438,9;564,7;590,5;588,1;594,3;598,3
Município;Pampilhosa da Serra;486,8;612,7;627,1;634,2;648,4;679,8;507,7;615,4;638,0;647,8;686,6;756,5;447,9;610,4;618,3;622,8;619,0;618,8
Município;Penacova;504,4;658,6;679,5;685,7;704,0;687,7;518,2;682,5;703,8;721,6;735,4;710,8;474,8;615,4;642,1;632,0;659,2;653,4
Município;Penela;473,4;643,9;664,8;687,5;685,8;677,5;498,9;675,7;700,0;714,7;716,2;720,8;445,6;590,6;608,5;619,2;623,6;617,1
